time_stamp,humidity,temperature,pm2.5_cf_1,pm10.0_cf_1
2023-06-17T03:40:00Z,74.4,68.4,39.369,42.117999999999995
2023-06-17T03:50:00Z,72.6,68.8,39.132000000000005,42.009
2023-06-17T04:00:00Z,72.6,68.2,41.336,44.944
2023-06-17T04:10:00Z,72.4,68,43.541,46.853
2023-06-17T04:20:00Z,70.6,68,43.765,46.856
2023-06-17T04:30:00Z,69.6,68,45.176,48.253
2023-06-17T04:40:00Z,68.2,68.2,46.397999999999996,50.157
2023-06-17T04:50:00Z,67.8,68,46.663,50.214
2023-06-17T05:00:00Z,67,68,47.115,51.316
2023-06-17T05:10:00Z,67,68,47.333,51.213
2023-06-17T05:20:00Z,66.8,68,47.257,50.696
2023-06-17T05:30:00Z,67,68,47.369,51.054
2023-06-17T05:40:00Z,67,68.6,47.275999999999996,51.141000000000005
2023-06-17T05:50:00Z,67,68.6,47.004999999999995,50.36
2023-06-17T06:00:00Z,67.2,68,46.916,51.081
2023-06-17T06:10:00Z,67.4,68,46.874,50.815
2023-06-17T06:20:00Z,68,68,46.745000000000005,50.836
2023-06-17T06:30:00Z,68,67.6,46.045,49.845
2023-06-17T06:40:00Z,68.8,67,46.25,50.601
2023-06-17T06:50:00Z,69.6,67,45.698,49.512
2023-06-17T07:00:00Z,70.2,66.4,46.688,51.021
2023-06-17T07:10:00Z,72,66,48.062,52.385999999999996
2023-06-17T07:20:00Z,72.4,66,47.804,51.198
2023-06-17T07:30:00Z,73,66,48.733000000000004,52.864000000000004
2023-06-17T07:40:00Z,72.8,66,48.347,52.607
2023-06-17T07:50:00Z,72,66,47.53,52.132
2023-06-17T08:00:00Z,71.4,66.6,46.379,50.251999999999995
2023-06-17T08:10:00Z,71.4,66.2,46.933,50.635000000000005
2023-06-17T08:20:00Z,72,66,46.936,51.096000000000004
2023-06-17T08:30:00Z,72,66.2,46.867999999999995,51.171
2023-06-17T08:40:00Z,70.6,66,45.760000000000005,50.108000000000004
2023-06-17T08:50:00Z,70,66,45.382999999999996,49.245999999999995
2023-06-17T09:00:00Z,71.2,65.2,46.85,50.924
2023-06-17T09:10:00Z,71.2,65,44.980000000000004,49.018
2023-06-17T09:20:00Z,71.4,64,43.55,47.501999999999995
2023-06-17T09:30:00Z,72.4,64,44.605000000000004,48.908
2023-06-17T09:40:00Z,73,63.4,44.171,48.398
2023-06-17T09:50:00Z,73.6,64,44.468999999999994,48.228
2023-06-17T10:00:00Z,72.2,64.4,42,45.245999999999995
2023-06-17T10:10:00Z,70.2,65.8,40.634,44.442
